name,e,f_failed,r_failed,v_failed,nc_failed
C/2001 V3 (SOHO),1.0,1,1,1,0
C/2001 V4 (SOHO),1.0,1,1,1,0
C/2001 V5 (SOHO),1.0,1,1,1,0
C/2001 V6 (SOHO),1.0,1,0,0,0
C/2007 N7 (SOHO),1.0,1,1,1,0
C/2002 E1 (SOHO),1.0,3,5,1,0
C/2002 E3 (SOHO),1.0,1,0,1,0
C/2007 M10 (SOHO),1.0,7,257,1,0
C/2002 J7 (SOHO),1.0,3,1,1,0
C/2002 K3 (SOHO),1.0,1,1,1,0
C/2002 K5 (SOHO),1.0,3,23,1,0
C/2002 K6 (SOHO),1.0,1,1,1,0
C/2002 K7 (SOHO),1.0,3,23,1,0
C/2002 K8 (SOHO),1.0,3,23,1,0
C/2002 K9 (SOHO),1.0,3,5,1,0
C/2002 K10 (SOHO),1.0,1,1,1,0
C/2002 K11 (SOHO),1.0,3,23,1,0
C/2002 L1 (SOHO),1.0,3,23,1,0
C/2002 L2 (SOHO),1.0,3,23,1,0
C/2002 L3 (SOHO),1.0,1,1,1,0
C/2002 L4 (SOHO),1.0,1,1,1,0
C/2002 L5 (SOHO),1.0,3,19,1,0
C/2002 L6 (SOHO),1.0,3,13,1,0
C/2002 J8 (SOHO),1.0,1,1,1,0
C/2002 J6 (SOHO),1.0,3,23,1,0
C/2002 F2 (SOHO),1.0,1,1,1,0
C/2002 J3 (SOHO),1.0,1,0,1,0
C/2002 F3 (SOHO),1.0,3,23,1,0
C/2002 G1 (SOHO),1.0,1,0,0,0
C/2002 G2 (SOHO),1.0,3,23,1,0
C/2002 G4 (SOHO),1.0,1,0,1,0
C/2002 G5 (SOHO),1.0,1,1,1,0
C/2002 H1 (SOHO),1.0,1,0,1,0
C/2007 M9 (SOHO),1.0,7,257,1,0
C/2002 H4 (SOHO),1.0,1,0,1,0
C/2002 H5 (SOHO),1.0,1,1,1,0
C/2002 H6 (SOHO),1.0,3,1,1,0
C/2002 H7 (SOHO),1.0,1,1,1,0
C/2002 H8 (SOHO),1.0,1,0,0,0
C/2002 J1 (SOHO),1.0,1,1,1,0
C/2002 J2 (SOHO),1.0,1,0,1,0
C/2001 U1 (SOHO),1.0,3,1,1,0
C/2001 T6 (SOHO),1.0,1,1,1,0
C/2000 Y9 (SOHO),1.0,1,1,1,0
C/2001 K6 (SOHO),1.0,1,1,1,0
C/2001 H8 (SOHO),1.0,3,7,1,0
C/2001 J2 (SOHO),1.0,1,0,1,0
C/2001 J3 (SOHO),1.0,1,0,0,0
C/2001 J4 (SOHO),1.0,1,0,1,0
C/2001 J5 (SOHO),1.0,1,1,1,0
C/2001 K2 (SOHO),1.0,1,1,1,0
C/2001 K4 (SOHO),1.0,3,3,1,0
C/2001 K7 (SOHO),1.0,1,1,1,0
C/2001 T5 (SOHO),1.0,1,0,0,0
C/2001 K8 (SOHO),1.0,3,1,1,0
C/2001 K9 (SOHO),1.0,1,1,1,0
C/2001 K10 (SOHO),1.0,1,1,1,0
C/2001 K11 (SOHO),1.0,1,0,0,0
C/2001 L1 (SOHO),1.0,1,1,1,0
C/2001 L2 (SOHO),1.0,1,0,1,0
C/2001 L3 (SOHO),1.0,3,23,1,0
C/2001 H7 (SOHO),1.0,1,1,1,0
C/2001 H6 (SOHO),1.0,1,1,1,0
C/2001 H4 (SOHO),1.0,1,1,1,0
C/2001 H3 (SOHO),1.0,1,1,1,0
C/2001 A3 (SOHO),1.0,1,1,1,0
C/2001 A4 (SOHO),1.0,1,1,1,0
C/2001 B3 (SOHO),1.0,3,1,1,0
C/2001 C2 (SOHO),1.0,1,1,1,0
C/2001 C3 (SOHO),1.0,1,1,1,0
C/2001 C4 (SOHO),1.0,1,1,1,0
C/2001 C5 (SOHO),1.0,1,0,0,0
C/2001 C6 (SOHO),1.0,1,1,1,0
C/2001 C7 (SOHO),1.0,1,0,0,0
C/2001 E1 (SOHO),1.0,1,0,0,0
C/2001 F2 (SOHO),1.0,7,257,1,0
C/2001 G2 (SOHO),1.0,1,1,1,0
C/2001 G3 (SOHO),1.0,1,1,1,0
C/2001 H1 (SOHO),1.0,1,0,0,0
C/2001 H2 (SOHO),1.0,1,1,1,0
C/2001 L4 (SOHO),1.0,1,1,1,0
C/2001 L5 (SOHO),1.0,1,1,1,0
C/2001 L6 (SOHO),1.0,7,257,1,0
C/2001 P2 (SOHO),1.0,3,23,1,0
C/2001 Q9 (SOHO),1.0,3,3,1,0
C/2001 R2 (SOHO),1.0,3,23,1,0
C/2001 R4 (SOHO),1.0,1,1,1,0
C/2001 R5 (SOHO),1.0,1,1,1,0
C/2007 N8 (SOHO),1.0,7,257,1,0
C/2001 S2 (SOHO),1.0,1,1,1,0
C/2001 S3 (SOHO),1.0,3,23,1,0
C/2001 T1 (SOHO),1.0,1,0,0,0
C/2001 T2 (SOHO),1.0,1,1,1,0
C/2007 O3 (SOHO),1.0,1,1,1,0
C/2001 P1 (SOHO),1.0,1,0,1,0
C/2001 L7 (SOHO),1.0,7,257,1,0
C/2007 O4 (SOHO),1.0,1,1,1,0
C/2001 L8 (SOHO),1.0,3,13,1,0
C/2001 L9 (SOHO),1.0,1,1,1,0
C/2001 L11 (SOHO),1.0,3,23,1,0
C/2001 M2 (SOHO),1.0,3,13,1,0
C/2001 M3 (SOHO),1.0,3,23,1,0
C/2001 M4 (SOHO),1.0,1,1,1,0
C/2001 M5 (SOHO),1.0,1,0,1,0
C/2001 M6 (SOHO),1.0,1,1,1,0
C/2001 M7 (SOHO),1.0,1,1,1,0
C/2001 M8 (SOHO),1.0,5,147,1,0
C/2001 M9 (SOHO),1.0,1,1,1,0
C/2001 M11 (SOHO),1.0,3,7,1,0
C/2001 N1 (SOHO),1.0,1,0,1,0
C/2001 O1 (SOHO),1.0,1,1,1,0
C/2001 R3 (SOHO),1.0,1,1,1,0
C/2003 Y9 (SOHO),1.0,1,1,1,0
C/2003 M12 (SOHO),1.0,1,1,1,0
C/2005 U3 (SOHO),1.0,1,0,1,0
C/2005 W12 (SOHO),1.0,1,1,1,0
C/2005 W13 (SOHO),1.0,7,257,1,0
C/2005 W14 (SOHO),1.0,7,257,1,0
C/2005 W15 (SOHO),1.0,3,3,1,0
C/2005 W16 (SOHO),1.0,7,387,1,0
C/2005 W17 (SOHO),1.0,3,23,1,0
C/2005 X2 (SOHO),1.0,1,1,1,0
C/2005 X3 (SOHO),1.0,3,23,1,0
C/2005 X4 (SOHO),1.0,1,1,1,0
C/2005 X5 (SOHO),1.0,7,387,1,0
C/2005 X6 (SOHO),1.0,3,23,1,0
C/2005 X7 (SOHO),1.0,1,1,1,0
C/2005 X8 (SOHO),1.0,7,257,1,0
C/2005 X9 (SOHO),1.0,7,257,1,0
C/2005 Y3 (SOHO),1.0,1,1,1,0
C/2005 Y4 (SOHO),1.0,3,23,1,0
C/2005 W10 (SOHO),1.0,3,23,1,0
C/2005 W9 (SOHO),1.0,1,0,0,0
C/2005 V5 (SOHO),1.0,1,1,1,0
C/2005 U5 (SOHO),1.0,7,257,1,0
C/2005 U6 (SOHO),1.0,3,5,1,0
C/2005 U7 (SOHO),1.0,1,1,1,0
C/2005 U8 (SOHO),1.0,1,1,1,0
C/2005 V2 (SOHO),1.0,1,1,1,0
C/2005 V3 (SOHO),1.0,7,257,1,0
C/2005 V4 (SOHO),1.0,7,257,1,0
C/2005 V6 (SOHO),1.0,1,0,1,0
C/2005 W8 (SOHO),1.0,7,257,1,0
C/2005 V7 (SOHO),1.0,3,23,1,0
C/2005 V9 (SOHO),1.0,3,1,1,0
C/2005 W1 (SOHO),1.0,1,0,0,0
C/2005 W5 (SOHO),1.0,1,0,0,0
C/2005 W6 (SOHO),1.0,1,1,1,0
C/2005 W7 (SOHO),1.0,1,0,1,0
C/2005 Y5 (SOHO),1.0,7,257,1,0
C/2005 Y6 (SOHO),1.0,1,1,1,0
C/2005 Y7 (SOHO),1.0,1,0,1,0
C/2006 F8 (SOHO),1.0,1,0,1,0
C/2006 E2 (SOHO),1.0,1,0,0,0
C/2006 E3 (SOHO),1.0,1,1,1,0
C/2006 E4 (SOHO),1.0,1,1,1,0
C/2006 F3 (SOHO),1.0,1,0,0,0
C/2006 F5 (SOHO),1.0,3,23,1,0
C/2006 F6 (SOHO),1.0,1,0,0,0
C/2006 F7 (SOHO),1.0,3,23,1,0
C/2006 G2 (SOHO),1.0,1,1,1,0
C/2006 D5 (SOHO),1.0,7,257,1,0
C/2006 G3 (SOHO),1.0,7,257,1,0
C/2006 H2 (SOHO),1.0,1,1,1,0
C/2006 H3 (SOHO),1.0,3,23,1,0
C/2006 H4 (SOHO),1.0,1,1,1,0
C/2006 H5 (SOHO),1.0,1,0,1,0
C/2006 H6 (SOHO),1.0,7,257,1,0
C/2006 J1 (SOHO),1.0,1,1,1,0
C/2006 D6 (SOHO),1.0,1,1,1,0
C/2006 D4 (SOHO),1.0,1,0,1,0
C/2005 Y8 (SOHO),1.0,1,0,0,0
C/2006 B2 (SOHO),1.0,1,1,1,0
C/2005 Y9 (SOHO),1.0,1,1,1,0
C/2005 Y10 (SOHO),1.0,1,1,1,0
C/2006 A4 (SOHO),1.0,1,1,1,0
C/2006 A5 (SOHO),1.0,1,1,1,0
C/2006 A6 (SOHO),1.0,3,5,1,0
C/2006 A7 (SOHO),1.0,7,257,1,0
C/2006 A8 (SOHO),1.0,1,1,1,0
C/2006 B3 (SOHO),1.0,1,0,1,0
C/2006 D3 (SOHO),1.0,3,23,1,0
C/2006 B5 (SOHO),1.0,3,23,1,0
C/2006 B6 (SOHO),1.0,3,7,1,0
C/2006 C1 (SOHO),1.0,7,257,1,0
C/2006 C2 (SOHO),1.0,3,7,1,0
C/2006 C3 (SOHO),1.0,1,0,1,0
C/2006 D2 (SOHO),1.0,3,23,1,0
C/2005 U4 (SOHO),1.0,1,1,1,0
C/2005 U2 (SOHO),1.0,3,1,1,0
C/2003 N1 (SOHO),1.0,7,257,1,0
C/2005 T11 (SOHO),1.0,1,1,1,0
C/2005 L15 (SOHO),1.0,1,1,1,0
C/2005 M2 (SOHO),1.0,1,1,1,0
C/2005 M4 (SOHO),1.0,1,1,1,0
C/2005 M5 (SOHO),1.0,1,1,1,0
C/2005 M6 (SOHO),1.0,7,257,1,0
C/2005 M7 (SOHO),1.0,1,1,1,0
C/2005 M8 (SOHO),1.0,3,7,1,0
C/2005 M9 (SOHO),1.0,1,1,1,0
C/2005 M10 (SOHO),1.0,1,1,1,0
C/2007 K13 (SOHO),1.0,7,257,1,0
C/2007 K12 (SOHO),1.0,1,0,0,0
C/2005 N6 (SOHO),1.0,1,1,1,0
C/2005 N7 (SOHO),1.0,1,1,1,0
C/2005 N8 (SOHO),1.0,7,257,1,0
C/2005 N9 (SOHO),1.0,7,257,1,0
C/2005 N10 (SOHO),1.0,1,1,1,0
C/2005 L14 (SOHO),1.0,1,1,1,0
C/2005 L13 (SOHO),1.0,3,1,1,0
C/2005 L12 (SOHO),1.0,5,53,1,0
C/2005 K9 (SOHO),1.0,1,0,0,0
C/2005 J11 (SOHO),1.0,1,1,1,0
C/2005 J12 (SOHO),1.0,1,1,1,0
